order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.94506156,0.9344997,0.88654214,0
1,1,0,0.9463892,0.93455523,0.88654214,0
2,2,0,0.9279465,0.9344997,0.88654214,0
3,3,0,0.9284091,0.93455523,0.88654214,0
4,4,0,0.93890065,0.9344997,0.88654214,0
5,5,0,0.9431654,0.93447626,0.88654214,0
6,6,0,0.93215024,0.9344997,0.88654214,0
7,8,0,0.9353275,0.93447626,0.88654214,0
8,9,0,0.950675,0.9344528,0.88654214,0
9,10,0,0.9169753,0.93447626,0.88654214,0
10,11,0,0.9344997,0.9344997,0.88654214,0
11,12,0,0.92367244,0.93455523,0.88654214,0
12,14,0,0.9546174,0.9346108,0.88654214,0
13,15,0,0.93274647,0.93455523,0.88654214,0
14,16,0,0.92571336,0.9344997,0.88654214,0
15,17,0,0.92831194,0.93447626,0.88654214,0
16,18,0,0.9261873,0.9344997,0.88654214,0
17,19,0,0.8998074,0.93447626,0.88654214,0
18,20,0,0.9216672,0.9344997,0.88654214,0
19,22,0,0.945785,0.93455523,0.88654214,0
20,24,0,0.9349006,0.9344997,0.88654214,0
21,25,0,0.92121834,0.93455523,0.88654214,0
22,26,0,0.92087543,0.9346108,0.88654214,0
23,28,0,0.94501305,0.93455523,0.88654214,0
24,29,0,0.9283804,0.9346108,0.88654214,0
25,30,0,0.943983,0.9347557,0.88654214,0
26,31,0,0.9408086,0.9346108,0.88654214,0
27,32,0,0.93942213,0.93455523,0.88654214,0
28,33,0,0.93133426,0.9346108,0.88654214,0
29,34,0,0.9293219,0.93455523,0.88654214,0
30,35,0,0.91423535,0.9346108,0.88654214,0
31,36,0,0.921825,0.93455523,0.88654214,0
32,38,0,0.9392338,0.9344997,0.88654214,0
33,39,0,0.95009464,0.93447626,0.88654214,0
34,40,0,0.9438741,0.9344997,0.88654214,0
35,41,0,0.9403009,0.93447626,0.88654214,0
36,43,0,0.9266122,0.9344997,0.88654214,0
37,44,0,0.9401386,0.93455523,0.88654214,0
38,46,0,0.9420996,0.9346108,0.88654214,0
39,47,0,0.9404873,0.9347384,0.88654214,0
40,48,0,0.9460849,0.93486595,0.88654214,0
41,49,0,0.9318357,0.93488324,0.88654214,0
42,50,0,0.9421525,0.9349006,0.88654214,0
43,51,0,0.9339647,0.93488324,0.88654214,0
44,52,0,0.91933906,0.9349006,0.88654214,0
45,53,0,0.93120736,0.935114,0.88654214,0
46,54,0,0.927152,0.9349006,0.88654214,0
47,55,0,0.9429498,0.935114,0.88654214,0
48,56,0,0.9375887,0.9353275,0.88654214,0
49,57,0,0.9344528,0.93551403,0.88654214,0
50,58,0,0.94950455,0.9357006,0.88654214,0
51,59,0,0.9346108,0.9353275,0.88654214,0
52,60,0,0.9260352,0.9353275,0.88654214,0
53,61,0,0.93980837,0.9353275,0.88654214,0
54,62,0,0.93030566,0.9357006,0.88654214,0
55,63,0,0.9084697,0.9353275,0.88654214,0
56,64,0,0.9477517,0.9349006,0.88654214,0
57,65,0,0.9303666,0.9349006,0.88654214,0
58,66,0,0.92246073,0.93486595,0.88654214,0
59,67,0,0.9357006,0.93486595,0.88654214,0
60,68,0,0.9463198,0.93486595,0.88654214,0
61,69,0,0.93574953,0.9349006,0.88654214,0
62,71,0,0.9413093,0.9349006,0.88654214,0
63,72,0,0.93432444,0.9349006,0.88654214,0
64,74,0,0.92631173,0.9349006,0.88654214,0
65,75,0,0.93009675,0.9349006,0.88654214,0
66,76,0,0.9359918,0.9349006,0.88654214,0
67,77,0,0.91901517,0.9349006,0.88654214,0
68,78,0,0.940018,0.9349006,0.88654214,0
69,79,0,0.93921214,0.9357006,0.88654214,0
70,80,0,0.92718506,0.9357006,0.88654214,0
71,81,0,0.949175,0.93574953,0.88654214,0
72,83,0,0.9382094,0.93574953,0.88654214,0
73,85,0,0.9304211,0.93574953,0.88654214,0
74,86,0,0.94500166,0.9357006,0.88654214,0
75,88,0,0.94679385,0.9357006,0.88654214,0
76,90,0,0.9329401,0.93486595,0.88654214,0
77,91,0,0.9268063,0.93484634,0.88654214,0
78,92,0,0.9401953,0.93484634,0.88654214,0
79,93,0,0.93361825,0.93486595,0.88654214,0
80,94,0,0.9389056,0.9357006,0.88654214,0
81,95,0,0.93078226,0.9357006,0.88654214,0
82,96,0,0.9252557,0.9357006,0.88654214,0
83,98,0,0.93297565,0.9357006,0.88654214,0
84,99,0,0.9427899,0.9357006,0.88654214,0
85,100,0,0.9185942,0.9357006,0.88654214,0
86,101,0,0.93805367,0.93486595,0.88654214,0
87,102,0,0.9421981,0.9357006,0.88654214,0
88,103,0,0.93486595,0.9357006,0.88654214,0
89,104,0,0.9411624,0.93486595,0.88654214,0
90,105,0,0.93615955,0.93486595,0.88654214,0
91,106,0,0.94225883,0.93484634,0.88654214,0
92,107,0,0.9462046,0.93486595,0.88654214,0
93,108,0,0.92392355,0.93486595,0.88654214,0
94,109,0,0.95375013,0.9357006,0.88654214,0
95,110,0,0.94327646,0.93574953,0.88654214,0
96,111,0,0.92744994,0.93574953,0.88654214,0
97,112,0,0.9407773,0.93574953,0.88654214,0
98,113,0,0.94539154,0.93574953,0.88654214,0
99,114,0,0.93877834,0.9357006,0.88654214,0
100,115,0,0.9383462,0.93574953,0.88654214,0
101,116,0,0.93369246,0.93574953,0.88654214,0
102,117,0,0.9367667,0.9359918,0.88654214,0
103,118,0,0.9293189,0.93615955,0.88654214,0
104,119,0,0.9391036,0.9359918,0.88654214,0
105,120,0,0.9253498,0.93615955,0.88654214,0
106,121,0,0.9311076,0.93615955,0.88654214,0
107,123,0,0.93175656,0.9359918,0.88654214,0
108,124,0,0.93484634,0.9359918,0.88654214,0
109,127,0,0.9378265,0.93615955,0.88654214,0
110,128,0,0.9224246,0.9367667,0.88654214,0
111,129,0,0.9398333,0.93615955,0.88654214,0
112,130,0,0.9262031,0.9367667,0.88654214,0
113,131,0,0.93759656,0.93615955,0.88654214,0
114,132,0,0.9318897,0.9367667,0.88654214,0
115,133,0,0.92842466,0.9367667,0.88654214,0
116,134,0,0.93409574,0.9367667,0.88654214,0
117,135,0,0.932335,0.9369256,0.88654214,0
118,136,0,0.93254536,0.93759656,0.88654214,0
119,137,0,0.9502794,0.9369256,0.88654214,0
120,138,0,0.9392517,0.9369256,0.88654214,0
121,139,0,0.94279385,0.9369256,0.88654214,0
122,140,0,0.93176836,0.9367667,0.88654214,0
123,141,0,0.91889834,0.9367667,0.88654214,0
124,143,0,0.9341393,0.9367667,0.88654214,0
