order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.9160433,0.9174985,0.86686903,0
1,1,0,0.92059743,0.9176583,0.86686903,0
2,2,0,0.9055093,0.9174985,0.86686903,0
3,3,0,0.9150319,0.9173722,0.86686903,0
4,4,0,0.9228409,0.917246,0.86686903,0
5,5,0,0.92553633,0.9167534,0.86686903,0
6,6,0,0.9174985,0.917246,0.86686903,0
7,8,0,0.9068497,0.9173722,0.86686903,0
8,9,0,0.9476017,0.917246,0.86686903,0
9,10,0,0.8989479,0.9167534,0.86686903,0
10,11,0,0.9128975,0.91626084,0.86686903,0
11,12,0,0.9101474,0.91615206,0.86686903,0
12,14,0,0.94289935,0.91626084,0.86686903,0
13,15,0,0.91303635,0.9163424,0.86686903,0
14,16,0,0.91908616,0.916424,0.86686903,0
15,17,0,0.92185366,0.9163424,0.86686903,0
16,18,0,0.9143171,0.91626084,0.86686903,0
17,19,0,0.90017563,0.91615206,0.86686903,0
18,20,0,0.9120453,0.91626084,0.86686903,0
19,22,0,0.9198963,0.9163424,0.86686903,0
20,24,0,0.9131778,0.91626084,0.86686903,0
21,25,0,0.9057903,0.9163424,0.86686903,0
22,26,0,0.90117335,0.916424,0.86686903,0
23,28,0,0.9231768,0.9163424,0.86686903,0
24,29,0,0.90823,0.916424,0.86686903,0
25,30,0,0.9214466,0.91683495,0.86686903,0
26,31,0,0.93512154,0.916424,0.86686903,0
27,32,0,0.917246,0.9163424,0.86686903,0
28,33,0,0.9195881,0.916424,0.86686903,0
29,34,0,0.90846115,0.9163424,0.86686903,0
30,35,0,0.9052137,0.916424,0.86686903,0
31,36,0,0.9087726,0.9163424,0.86686903,0
32,38,0,0.9109281,0.91626084,0.86686903,0
33,39,0,0.9223991,0.91615206,0.86686903,0
34,40,0,0.9233772,0.91626084,0.86686903,0
35,41,0,0.92562145,0.9163424,0.86686903,0
36,43,0,0.9226299,0.916424,0.86686903,0
37,44,0,0.9210911,0.91641784,0.86686903,0
38,46,0,0.9223832,0.916424,0.86686903,0
39,47,0,0.9266846,0.9166452,0.86686903,0
40,48,0,0.9178181,0.916424,0.86686903,0
41,49,0,0.9236552,0.91641784,0.86686903,0
42,50,0,0.9217698,0.916424,0.86686903,0
43,51,0,0.91279626,0.91641784,0.86686903,0
44,52,0,0.90499973,0.916424,0.86686903,0
45,53,0,0.90547687,0.9166452,0.86686903,0
46,54,0,0.9088311,0.916424,0.86686903,0
47,55,0,0.921131,0.91641784,0.86686903,0
48,56,0,0.9192318,0.916424,0.86686903,0
49,57,0,0.9158947,0.9166452,0.86686903,0
50,58,0,0.92199224,0.9168665,0.86686903,0
51,59,0,0.9235038,0.9169383,0.86686903,0
52,60,0,0.9069024,0.9168665,0.86686903,0
53,61,0,0.91626084,0.9169383,0.86686903,0
54,62,0,0.9134297,0.9169383,0.86686903,0
55,63,0,0.8976859,0.9168665,0.86686903,0
56,64,0,0.92036223,0.916424,0.86686903,0
57,65,0,0.92444676,0.916424,0.86686903,0
58,66,0,0.9068627,0.9168665,0.86686903,0
59,67,0,0.9125929,0.916424,0.86686903,0
60,68,0,0.91549546,0.916424,0.86686903,0
61,69,0,0.9088548,0.9168665,0.86686903,0
62,71,0,0.925538,0.9168665,0.86686903,0
63,72,0,0.916424,0.916424,0.86686903,0
64,74,0,0.92189085,0.916424,0.86686903,0
65,75,0,0.91098595,0.91641164,0.86686903,0
66,76,0,0.91282696,0.91641164,0.86686903,0
67,77,0,0.91058147,0.91641164,0.86686903,0
68,78,0,0.9177292,0.916424,0.86686903,0
69,79,0,0.92776954,0.91648024,0.86686903,0
70,80,0,0.9100037,0.91648024,0.86686903,0
71,81,0,0.92120385,0.9168665,0.86686903,0
72,83,0,0.92005235,0.9168665,0.86686903,0
73,85,0,0.91192526,0.9168665,0.86686903,0
74,86,0,0.9259166,0.916763,0.86686903,0
75,88,0,0.92528254,0.916763,0.86686903,0
76,90,0,0.9140599,0.91648024,0.86686903,0
77,91,0,0.90774965,0.916424,0.86686903,0
78,92,0,0.92608327,0.91641164,0.86686903,0
79,93,0,0.9089135,0.91626084,0.86686903,0
80,94,0,0.9168665,0.91641164,0.86686903,0
81,95,0,0.91221637,0.91641164,0.86686903,0
82,96,0,0.9066873,0.91641164,0.86686903,0
83,98,0,0.9142974,0.916424,0.86686903,0
84,99,0,0.92937696,0.916424,0.86686903,0
85,100,0,0.9169383,0.916424,0.86686903,0
86,101,0,0.9190956,0.91641164,0.86686903,0
87,102,0,0.91641164,0.91641164,0.86686903,0
88,103,0,0.91796935,0.91641164,0.86686903,0
89,104,0,0.92728424,0.91626084,0.86686903,0
90,105,0,0.914745,0.91626084,0.86686903,0
91,106,0,0.9146412,0.91626084,0.86686903,0
92,107,0,0.9206696,0.91626084,0.86686903,0
93,108,0,0.8990947,0.91626084,0.86686903,0
94,109,0,0.92451805,0.91641164,0.86686903,0
95,110,0,0.92831486,0.916424,0.86686903,0
96,111,0,0.9142426,0.916424,0.86686903,0
97,112,0,0.9130952,0.916424,0.86686903,0
98,113,0,0.9241503,0.916424,0.86686903,0
99,114,0,0.923304,0.91641164,0.86686903,0
100,115,0,0.9185107,0.91641164,0.86686903,0
101,116,0,0.9188834,0.91641164,0.86686903,0
102,117,0,0.9065836,0.91641164,0.86686903,0
103,118,0,0.9238866,0.91641164,0.86686903,0
104,119,0,0.9135824,0.916424,0.86686903,0
105,120,0,0.89829063,0.91648024,0.86686903,0
106,121,0,0.90933627,0.91648024,0.86686903,0
107,123,0,0.9284608,0.91648024,0.86686903,0
108,124,0,0.91938865,0.916424,0.86686903,0
109,127,0,0.90992314,0.91648024,0.86686903,0
110,128,0,0.91332394,0.91648024,0.86686903,0
111,129,0,0.9230375,0.9165284,0.86686903,0
112,130,0,0.90047973,0.9166469,0.86686903,0
113,131,0,0.912072,0.9166469,0.86686903,0
114,132,0,0.9044137,0.91668147,0.86686903,0
115,133,0,0.905057,0.91668147,0.86686903,0
116,134,0,0.9199434,0.91668147,0.86686903,0
117,135,0,0.90408987,0.916763,0.86686903,0
118,136,0,0.91648024,0.91682696,0.86686903,0
119,137,0,0.9375727,0.916763,0.86686903,0
120,138,0,0.91858506,0.916763,0.86686903,0
121,139,0,0.92224187,0.916763,0.86686903,0
122,140,0,0.91209733,0.91668147,0.86686903,0
123,141,0,0.8991296,0.9166469,0.86686903,0
124,143,0,0.916763,0.91668147,0.86686903,0
125,145,0,0.90639377,0.91668147,0.86686903,0
126,146,0,0.89500105,0.9166469,0.86686903,0
127,147,0,0.9052404,0.9166469,0.86686903,0
128,148,0,0.9066378,0.9166469,0.86686903,0
129,149,0,0.9121457,0.9166469,0.86686903,0
130,150,0,0.9258526,0.9166469,0.86686903,0
131,152,0,0.9048078,0.9165284,0.86686903,0
132,153,0,0.90833795,0.9166469,0.86686903,0
133,154,0,0.9183038,0.91668147,0.86686903,0
134,155,0,0.9223672,0.91668147,0.86686903,0
135,156,0,0.91668147,0.9166469,0.86686903,0
136,157,0,0.8861001,0.9165284,0.86686903,0
137,158,0,0.91926545,0.9165284,0.86686903,0
138,159,0,0.9199076,0.9165284,0.86686903,0
139,160,0,0.8908398,0.9165284,0.86686903,0
140,161,0,0.92358905,0.9165284,0.86686903,0
141,162,0,0.9190379,0.9166469,0.86686903,0
142,163,0,0.91682696,0.9166469,0.86686903,0
143,164,0,0.9260441,0.9165284,0.86686903,0
144,166,0,0.9287264,0.9165284,0.86686903,0
145,167,0,0.92686737,0.9165284,0.86686903,0
146,168,0,0.90422964,0.9165284,0.86686903,0
147,169,0,0.9065452,0.9165284,0.86686903,0
148,171,0,0.9223024,0.9166469,0.86686903,0
149,172,0,0.90839386,0.9166469,0.86686903,0
150,173,0,0.91592884,0.9166469,0.86686903,0
151,174,0,0.9360755,0.9165284,0.86686903,0
152,175,0,0.9166469,0.9165284,0.86686903,0
153,176,0,0.9138502,0.9166469,0.86686903,0
154,177,0,0.9165284,0.9165284,0.86686903,0
155,178,0,0.93182045,0.9165284,0.86686903,0
156,179,0,0.9152714,0.9165284,0.86686903,0
157,180,0,0.9173041,0.9165284,0.86686903,0
158,181,0,0.89218956,0.9165284,0.86686903,0
159,183,0,0.932742,0.9165284,0.86686903,0
160,184,0,0.91072786,0.9165284,0.86686903,0
161,186,0,0.92190933,0.9166469,0.86686903,0
162,187,0,0.9326492,0.9165284,0.86686903,0
163,188,0,0.9170597,0.9165284,0.86686903,0
164,189,0,0.92439246,0.9166469,0.86686903,0
165,190,0,0.91728175,0.9166469,0.86686903,0
166,191,0,0.9063245,0.91668147,0.86686903,0
167,192,0,0.9186991,0.9166469,0.86686903,0
168,193,0,0.92037845,0.91668147,0.86686903,0
169,194,0,0.9108436,0.916763,0.86686903,0
170,195,0,0.9248418,0.91668147,0.86686903,0
171,196,0,0.89310706,0.9166469,0.86686903,0
172,197,0,0.9058151,0.9165284,0.86686903,0
173,198,0,0.91633224,0.9166469,0.86686903,0
174,199,0,0.9242728,0.9166469,0.86686903,0
175,201,0,0.9239357,0.9165284,0.86686903,0
176,202,0,0.9044471,0.9166469,0.86686903,0
177,203,0,0.91365963,0.91668147,0.86686903,0
178,204,0,0.9014332,0.91682696,0.86686903,0
179,205,0,0.9296402,0.9170597,0.86686903,0
180,206,0,0.9065856,0.9170597,0.86686903,0
181,207,0,0.9059072,0.9170597,0.86686903,0
182,208,0,0.9250627,0.9172265,0.86686903,0
183,209,0,0.92453563,0.9172265,0.86686903,0
184,210,0,0.9022761,0.9172265,0.86686903,0
185,211,0,0.90355223,0.9170597,0.86686903,0
186,212,0,0.91573983,0.9170597,0.86686903,0
187,213,0,0.9179069,0.9170597,0.86686903,0
188,214,0,0.91513115,0.9170597,0.86686903,0
189,215,0,0.9192705,0.91682696,0.86686903,0
190,216,0,0.92795044,0.9170597,0.86686903,0
191,217,0,0.91728866,0.9170597,0.86686903,0
192,218,0,0.9125078,0.91682696,0.86686903,0
193,219,0,0.9141373,0.9170597,0.86686903,0
194,220,0,0.9044609,0.9170597,0.86686903,0
195,221,0,0.9211837,0.9166469,0.86686903,0
196,222,0,0.92579067,0.9166469,0.86686903,0
197,223,0,0.89714915,0.9166469,0.86686903,0
198,224,0,0.9217674,0.9170597,0.86686903,0
199,225,0,0.92908293,0.9170597,0.86686903,0
200,227,0,0.9305996,0.9172265,0.86686903,0
201,229,0,0.91367966,0.9172265,0.86686903,0
202,230,0,0.9222956,0.9170597,0.86686903,0
203,231,0,0.92245895,0.9170597,0.86686903,0
204,233,0,0.9030636,0.9170597,0.86686903,0
205,234,0,0.9137605,0.9172265,0.86686903,0
206,235,0,0.89473724,0.9170597,0.86686903,0
207,236,0,0.9122711,0.9170597,0.86686903,0
208,237,0,0.91996306,0.9170597,0.86686903,0
209,238,0,0.9221404,0.9170597,0.86686903,0
210,240,0,0.903562,0.91651905,0.86686903,0
211,241,0,0.92850745,0.9170597,0.86686903,0
212,242,0,0.9139372,0.9170597,0.86686903,0
213,243,0,0.9026947,0.9170597,0.86686903,0
214,245,0,0.9172265,0.9172265,0.86686903,0
215,246,0,0.91076374,0.91651905,0.86686903,0
216,247,0,0.9242962,0.91651905,0.86686903,0
217,248,0,0.9157686,0.91651905,0.86686903,0
218,249,0,0.924161,0.91633224,0.86686903,0
219,250,0,0.920407,0.91633224,0.86686903,0
220,251,0,0.9102923,0.91651905,0.86686903,0
221,252,0,0.9101917,0.91633224,0.86686903,0
222,253,0,0.9103155,0.91651905,0.86686903,0
223,254,0,0.9247621,0.9172265,0.86686903,0
224,255,0,0.9114596,0.9172265,0.86686903,0
225,256,0,0.91450083,0.9172072,0.86686903,0
226,257,0,0.93191147,0.91651905,0.86686903,0
227,258,0,0.920821,0.91651905,0.86686903,0
228,259,0,0.9184372,0.91651905,0.86686903,0
229,260,0,0.92047226,0.91651905,0.86686903,0
230,261,0,0.90823305,0.91626024,0.86686903,0
231,263,0,0.9234171,0.91651905,0.86686903,0
232,264,0,0.92215973,0.91651905,0.86686903,0
233,265,0,0.91326743,0.91626024,0.86686903,0
234,266,0,0.92011136,0.91626024,0.86686903,0
235,267,0,0.90911317,0.91633254,0.86686903,0
236,268,0,0.9112498,0.91651905,0.86686903,0
237,269,0,0.91573983,0.9172072,0.86686903,0
238,270,0,0.92498213,0.91651905,0.86686903,0
239,271,0,0.910956,0.9172072,0.86686903,0
240,272,0,0.9176863,0.91651905,0.86686903,0
241,274,0,0.92549765,0.91633254,0.86686903,0
242,275,0,0.9116373,0.91633254,0.86686903,0
243,276,0,0.92251796,0.91633254,0.86686903,0
244,277,0,0.92361134,0.91651905,0.86686903,0
245,278,0,0.9020342,0.91651905,0.86686903,0
246,280,0,0.9196588,0.91651905,0.86686903,0
247,281,0,0.91651905,0.91633254,0.86686903,0
248,282,0,0.92758,0.91633254,0.86686903,0
249,283,0,0.92153525,0.91633254,0.86686903,0
250,284,0,0.9210204,0.91626024,0.86686903,0
251,285,0,0.91579795,0.91626024,0.86686903,0
252,286,0,0.9160096,0.91626024,0.86686903,0
253,287,0,0.91529363,0.91626024,0.86686903,0
254,288,0,0.9111973,0.9160096,0.86686903,0
255,289,0,0.9262216,0.91626024,0.86686903,0
256,290,0,0.90934867,0.91626024,0.86686903,0
257,291,0,0.9033524,0.91633254,0.86686903,0
258,292,0,0.9199632,0.91633254,0.86686903,0
259,293,0,0.9144534,0.91626024,0.86686903,0
260,294,0,0.90771997,0.91626024,0.86686903,0
261,295,0,0.9281917,0.91633254,0.86686903,0
262,296,0,0.92388153,0.91626024,0.86686903,0
263,297,0,0.92262524,0.91626024,0.86686903,0
264,298,0,0.92917776,0.91633254,0.86686903,0
265,299,0,0.91138357,0.91633254,0.86686903,0
266,300,0,0.91781414,0.91633254,0.86686903,0
267,301,0,0.91626024,0.91633254,0.86686903,0
268,302,0,0.9021204,0.91651905,0.86686903,0
269,303,0,0.9253068,0.91651905,0.86686903,0
270,305,0,0.9246823,0.91633254,0.86686903,0
271,306,0,0.9065883,0.91651905,0.86686903,0
272,307,0,0.9262621,0.91651905,0.86686903,0
273,308,0,0.9228962,0.9166785,0.86686903,0
274,309,0,0.91019064,0.9166785,0.86686903,0
275,310,0,0.9172072,0.9166785,0.86686903,0
276,311,0,0.9005845,0.9166785,0.86686903,0
277,312,0,0.9027958,0.9166785,0.86686903,0
278,313,0,0.9159295,0.91651905,0.86686903,0
279,314,0,0.902686,0.91633254,0.86686903,0
280,315,0,0.91139156,0.91633254,0.86686903,0
281,316,0,0.9232148,0.91633254,0.86686903,0
282,317,0,0.9159171,0.91633254,0.86686903,0
283,318,0,0.90338033,0.91633254,0.86686903,0
284,319,0,0.91633254,0.91651905,0.86686903,0
285,320,0,0.92234397,0.91651905,0.86686903,0
286,321,0,0.9248013,0.9166785,0.86686903,0
287,322,0,0.9242321,0.9166785,0.86686903,0
288,323,0,0.9128986,0.9167311,0.86686903,0
289,324,0,0.9177258,0.9166785,0.86686903,0
290,325,0,0.90368867,0.9166785,0.86686903,0
291,326,0,0.91473496,0.91651905,0.86686903,0
292,327,0,0.9385564,0.91651905,0.86686903,0
293,328,0,0.91365296,0.9166785,0.86686903,0
294,329,0,0.92789644,0.9166785,0.86686903,0
295,330,0,0.9020686,0.9166785,0.86686903,0
296,331,0,0.92944664,0.9166785,0.86686903,0
297,332,0,0.91563916,0.91651905,0.86686903,0
298,333,0,0.91133106,0.9166785,0.86686903,0
299,334,0,0.92572445,0.91633254,0.86686903,0
300,335,0,0.9072218,0.91626024,0.86686903,0
301,336,0,0.932504,0.91626024,0.86686903,0
302,337,0,0.9002078,0.91633254,0.86686903,0
303,338,0,0.9227236,0.9166785,0.86686903,0
304,339,0,0.91311944,0.9166785,0.86686903,0
305,340,0,0.9194825,0.9166785,0.86686903,0
306,341,0,0.9147954,0.91633254,0.86686903,0
307,342,0,0.9169313,0.9166785,0.86686903,0
308,343,0,0.91432023,0.9166785,0.86686903,0
309,344,0,0.904546,0.9166785,0.86686903,0
310,345,0,0.91879976,0.9167311,0.86686903,0
