order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.89382863,0.8984848,0.84805685,0
1,1,0,0.8976992,0.898876,0.84805685,0
2,2,0,0.8945157,0.8984848,0.84805685,0
3,3,0,0.8962872,0.89809203,0.84805685,0
4,4,0,0.9045212,0.8976992,0.84805685,0
5,5,0,0.9124189,0.89744955,0.84805685,0
6,6,0,0.899959,0.8976992,0.84805685,0
7,8,0,0.8886242,0.89809203,0.84805685,0
8,9,0,0.94271064,0.8976992,0.84805685,0
9,10,0,0.87914056,0.89744955,0.84805685,0
10,11,0,0.89178956,0.8971999,0.84805685,0
11,12,0,0.9000316,0.89717114,0.84805685,0
12,14,0,0.93368304,0.8971999,0.84805685,0
13,15,0,0.8971423,0.89744955,0.84805685,0
14,16,0,0.90417886,0.8976992,0.84805685,0
15,17,0,0.90172005,0.89744955,0.84805685,0
16,18,0,0.8927986,0.8971999,0.84805685,0
17,19,0,0.8886999,0.89744955,0.84805685,0
18,20,0,0.89286655,0.8971999,0.84805685,0
19,22,0,0.899865,0.89744955,0.84805685,0
20,24,0,0.8955679,0.8971999,0.84805685,0
21,25,0,0.8867095,0.89717114,0.84805685,0
22,26,0,0.87864184,0.8971999,0.84805685,0
23,28,0,0.90374964,0.89717114,0.84805685,0
24,29,0,0.89416647,0.8971999,0.84805685,0
25,30,0,0.9039492,0.89744955,0.84805685,0
26,31,0,0.93187284,0.8976992,0.84805685,0
27,32,0,0.9026339,0.89744955,0.84805685,0
28,33,0,0.90351325,0.8976992,0.84805685,0
29,34,0,0.8936278,0.89744955,0.84805685,0
30,35,0,0.89278805,0.89726496,0.84805685,0
31,36,0,0.8882912,0.8972324,0.84805685,0
32,38,0,0.8794043,0.8971999,0.84805685,0
33,39,0,0.8992672,0.89717114,0.84805685,0
34,40,0,0.903199,0.8971999,0.84805685,0
35,41,0,0.9112178,0.8972324,0.84805685,0
36,43,0,0.9094555,0.89726496,0.84805685,0
37,44,0,0.9045368,0.8972324,0.84805685,0
38,46,0,0.9039189,0.8971999,0.84805685,0
39,47,0,0.90684086,0.8972324,0.84805685,0
40,48,0,0.8970799,0.89726496,0.84805685,0
41,49,0,0.9088608,0.8972324,0.84805685,0
42,50,0,0.90077144,0.89726496,0.84805685,0
43,51,0,0.8919838,0.8972324,0.84805685,0
44,52,0,0.8941562,0.89726496,0.84805685,0
45,53,0,0.88502777,0.89748204,0.84805685,0
46,54,0,0.8938875,0.89726496,0.84805685,0
47,55,0,0.90646696,0.8972324,0.84805685,0
48,56,0,0.9074557,0.89726496,0.84805685,0
49,57,0,0.8944604,0.89748204,0.84805685,0
50,58,0,0.8984848,0.89726496,0.84805685,0
51,59,0,0.9145922,0.8976992,0.84805685,0
52,60,0,0.89023,0.89726496,0.84805685,0
53,61,0,0.8971999,0.89787585,0.84805685,0
54,62,0,0.89427114,0.89787585,0.84805685,0
55,63,0,0.88602656,0.89726496,0.84805685,0
56,64,0,0.9003876,0.8971999,0.84805685,0
57,65,0,0.9149542,0.8971999,0.84805685,0
58,66,0,0.89152914,0.89726496,0.84805685,0
