order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.81402266,0.8233307,0.7754411,0
1,1,0,0.8233307,0.82348746,0.7754411,0
2,2,0,0.79118395,0.8233307,0.7754411,0
3,3,0,0.8422803,0.82201517,0.7754411,0
4,4,0,0.8706112,0.8233307,0.7754411,0
5,5,0,0.6660237,0.82201517,0.7754411,0
6,6,0,0.8606391,0.8233307,0.7754411,0
7,8,0,0.8362735,0.82308537,0.7754411,0
8,9,0,0.76774,0.82284003,0.7754411,0
9,10,0,0.8095951,0.82308537,0.7754411,0
10,11,0,0.78002363,0.82284003,0.7754411,0
11,12,0,0.83858925,0.82176983,0.7754411,0
12,14,0,0.8158067,0.82284003,0.7754411,0
13,15,0,0.8408754,0.82308537,0.7754411,0
14,16,0,0.8236442,0.82284003,0.7754411,0
15,17,0,0.8292825,0.82308537,0.7754411,0
16,18,0,0.8631944,0.8233307,0.7754411,0
17,19,0,0.8206997,0.82348746,0.7754411,0
18,20,0,0.83076936,0.8236442,0.7754411,0
19,22,0,0.850182,0.8243927,0.7754411,0
20,24,0,0.7321405,0.8251411,0.7754411,0
21,25,0,0.82529396,0.8252175,0.7754411,0
22,26,0,0.76756334,0.82529396,0.7754411,0
23,28,0,0.81681895,0.8252175,0.7754411,0
24,29,0,0.63301086,0.82529396,0.7754411,0
25,30,0,0.83275074,0.8252175,0.7754411,0
26,31,0,0.8001785,0.82529396,0.7754411,0
27,32,0,0.844142,0.8252175,0.7754411,0
28,33,0,0.79866517,0.82529396,0.7754411,0
29,34,0,0.83766824,0.8252175,0.7754411,0
30,35,0,0.6727424,0.8251411,0.7754411,0
31,36,0,0.6796316,0.8252175,0.7754411,0
32,38,0,0.81817454,0.82529396,0.7754411,0
33,39,0,0.8301541,0.8257202,0.7754411,0
34,40,0,0.8408952,0.82529396,0.7754411,0
35,41,0,0.66986436,0.8257202,0.7754411,0
36,43,0,0.76058215,0.8261465,0.7754411,0
37,44,0,0.8647565,0.8269725,0.7754411,0
38,46,0,0.8670143,0.8277985,0.7754411,0
39,47,0,0.8496761,0.8285405,0.7754411,0
40,48,0,0.83640474,0.8292825,0.7754411,0
41,49,0,0.78521365,0.8293413,0.7754411,0
42,50,0,0.8571536,0.8292825,0.7754411,0
43,51,0,0.786157,0.8285405,0.7754411,0
44,52,0,0.81358296,0.8292825,0.7754411,0
45,53,0,0.71270555,0.8293413,0.7754411,0
46,54,0,0.84906256,0.8292825,0.7754411,0
47,55,0,0.8002772,0.8285405,0.7754411,0
48,56,0,0.7482264,0.8292825,0.7754411,0
49,57,0,0.862423,0.8293413,0.7754411,0
50,58,0,0.8349448,0.82940006,0.7754411,0
51,59,0,0.8674156,0.8301541,0.7754411,0
52,60,0,0.79327345,0.8301541,0.7754411,0
53,61,0,0.78147215,0.83076936,0.7754411,0
