order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.82183015,0.8256141,0.78007585,0
1,1,0,0.8303388,0.82797647,0.78007585,0
2,2,0,0.78808475,0.8256141,0.78007585,0
3,3,0,0.84564304,0.8237221,0.78007585,0
4,4,0,0.8742217,0.8256141,0.78007585,0
5,5,0,0.6571703,0.8237221,0.78007585,0
6,6,0,0.86196566,0.8256141,0.78007585,0
7,8,0,0.8435572,0.8247896,0.78007585,0
8,9,0,0.7658829,0.8239651,0.78007585,0
9,10,0,0.81500155,0.8247896,0.78007585,0
10,11,0,0.7771301,0.8239651,0.78007585,0
11,12,0,0.8371911,0.8228976,0.78007585,0
12,14,0,0.8178997,0.8239651,0.78007585,0
13,15,0,0.84364015,0.8247896,0.78007585,0
14,16,0,0.8216597,0.8239651,0.78007585,0
15,17,0,0.8329224,0.8247896,0.78007585,0
16,18,0,0.87087303,0.8256141,0.78007585,0
17,19,0,0.8194324,0.82771415,0.78007585,0
18,20,0,0.8341949,0.8298142,0.78007585,0
19,22,0,0.859903,0.83007646,0.78007585,0
20,24,0,0.7224642,0.8303388,0.78007585,0
21,25,0,0.8340097,0.8308815,0.78007585,0
22,26,0,0.7695243,0.8314241,0.78007585,0
23,28,0,0.8197818,0.8308815,0.78007585,0
24,29,0,0.6312153,0.8314241,0.78007585,0
25,30,0,0.83263886,0.8308815,0.78007585,0
26,31,0,0.80011004,0.8314241,0.78007585,0
27,32,0,0.8490422,0.8308815,0.78007585,0
28,33,0,0.7975917,0.8314241,0.78007585,0
29,34,0,0.8363102,0.8308815,0.78007585,0
30,35,0,0.6582899,0.8303388,0.78007585,0
31,36,0,0.6707681,0.8308815,0.78007585,0
32,38,0,0.8256141,0.8314241,0.78007585,0
33,39,0,0.838843,0.8320315,0.78007585,0
34,40,0,0.84144396,0.8314241,0.78007585,0
35,41,0,0.65912807,0.8320315,0.78007585,0
36,43,0,0.7585957,0.83263886,0.78007585,0
37,44,0,0.86836743,0.8327806,0.78007585,0
38,46,0,0.8730675,0.8329224,0.78007585,0
39,47,0,0.8540355,0.83346605,0.78007585,0
40,48,0,0.8427371,0.8340097,0.78007585,0
41,49,0,0.7810808,0.8341023,0.78007585,0
42,50,0,0.8626369,0.8340097,0.78007585,0
43,51,0,0.78659415,0.83346605,0.78007585,0
44,52,0,0.8096758,0.8340097,0.78007585,0
45,53,0,0.70590353,0.8341023,0.78007585,0
46,54,0,0.84924364,0.8340097,0.78007585,0
47,55,0,0.79817915,0.83346605,0.78007585,0
48,56,0,0.74018586,0.8340097,0.78007585,0
49,57,0,0.870034,0.8341023,0.78007585,0
50,58,0,0.8432556,0.8341949,0.78007585,0
51,59,0,0.8649383,0.8345292,0.78007585,0
52,60,0,0.8016587,0.8345292,0.78007585,0
53,61,0,0.78372043,0.8362214,0.78007585,0
54,62,0,0.8314241,0.8345292,0.78007585,0
55,63,0,0.8213635,0.8345292,0.78007585,0
56,64,0,0.84651464,0.8345292,0.78007585,0
57,65,0,0.8239651,0.8345292,0.78007585,0
58,66,0,0.6653065,0.8345292,0.78007585,0
59,67,0,0.8298142,0.8345292,0.78007585,0
60,68,0,0.80626464,0.8354042,0.78007585,0
61,69,0,0.7175118,0.8362214,0.78007585,0
62,71,0,0.8475278,0.8354042,0.78007585,0
63,72,0,0.8707293,0.8354042,0.78007585,0
64,74,0,0.7911885,0.8345292,0.78007585,0
65,75,0,0.85314167,0.8354042,0.78007585,0
66,76,0,0.8436052,0.8362214,0.78007585,0
67,77,0,0.83699113,0.8354042,0.78007585,0
68,78,0,0.8362214,0.8354042,0.78007585,0
69,79,0,0.85692275,0.8354042,0.78007585,0
70,80,0,0.8453282,0.8345292,0.78007585,0
71,81,0,0.8573403,0.8345292,0.78007585,0
72,83,0,0.87566483,0.8345292,0.78007585,0
73,85,0,0.8032383,0.8345292,0.78007585,0
74,86,0,0.8369887,0.8354042,0.78007585,0
75,88,0,0.8063133,0.8362214,0.78007585,0
76,90,0,0.87383986,0.8362214,0.78007585,0
77,91,0,0.8040345,0.8363102,0.78007585,0
78,92,0,0.8744368,0.8362214,0.78007585,0
79,93,0,0.79790735,0.8362214,0.78007585,0
80,94,0,0.82074296,0.8362214,0.78007585,0
81,95,0,0.85903984,0.8362214,0.78007585,0
82,96,0,0.8345292,0.8362214,0.78007585,0
83,98,0,0.8698947,0.8362214,0.78007585,0
84,99,0,0.8252379,0.8354042,0.78007585,0
85,100,0,0.8661922,0.8345292,0.78007585,0
86,101,0,0.86456454,0.8345292,0.78007585,0
87,102,0,0.842453,0.8354042,0.78007585,0
88,103,0,0.8577492,0.8354042,0.78007585,0
89,104,0,0.868932,0.8345292,0.78007585,0
90,105,0,0.84965706,0.8345292,0.78007585,0
91,106,0,0.8556491,0.8345292,0.78007585,0
92,107,0,0.77135444,0.8345292,0.78007585,0
93,108,0,0.82544225,0.8340647,0.78007585,0
94,109,0,0.85363394,0.8345292,0.78007585,0
95,110,0,0.85737014,0.8354042,0.78007585,0
96,111,0,0.7047857,0.8362214,0.78007585,0
97,112,0,0.82664365,0.8354042,0.78007585,0
98,113,0,0.8640157,0.8362214,0.78007585,0
99,114,0,0.8598416,0.8362214,0.78007585,0
100,115,0,0.85484505,0.8354042,0.78007585,0
101,116,0,0.87586915,0.8345292,0.78007585,0
102,117,0,0.82324064,0.8345292,0.78007585,0
103,118,0,0.8412952,0.8354042,0.78007585,0
104,119,0,0.821246,0.8354042,0.78007585,0
105,120,0,0.8354042,0.8354042,0.78007585,0
106,121,0,0.7864979,0.8354042,0.78007585,0
107,123,0,0.85135615,0.83492726,0.78007585,0
108,124,0,0.8408169,0.83492726,0.78007585,0
109,127,0,0.83368886,0.8354042,0.78007585,0
110,128,0,0.86489624,0.8354042,0.78007585,0
111,129,0,0.8529166,0.8354042,0.78007585,0
112,130,0,0.8340647,0.8354042,0.78007585,0
113,131,0,0.82647496,0.8354042,0.78007585,0
114,132,0,0.8247898,0.8354042,0.78007585,0
115,133,0,0.84047467,0.8362214,0.78007585,0
