order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.81347644,0.8195902,0.7749482,0
1,1,0,0.8228857,0.8212379,0.7749482,0
2,2,0,0.78780645,0.8195902,0.7749482,0
3,3,0,0.84316677,0.8195579,0.7749482,0
4,4,0,0.8701906,0.8195902,0.7749482,0
5,5,0,0.6545579,0.82022464,0.7749482,0
6,6,0,0.8603061,0.8208591,0.7749482,0
7,8,0,0.836759,0.82029295,0.7749482,0
8,9,0,0.76358104,0.8197269,0.7749482,0
9,10,0,0.80670446,0.82029295,0.7749482,0
10,11,0,0.7772807,0.8197269,0.7749482,0
11,12,0,0.8346649,0.8196585,0.7749482,0
12,14,0,0.81353205,0.8197269,0.7749482,0
13,15,0,0.8429135,0.82029295,0.7749482,0
14,16,0,0.8195256,0.8197269,0.7749482,0
15,17,0,0.8254565,0.82029295,0.7749482,0
16,18,0,0.86423945,0.8208591,0.7749482,0
17,19,0,0.818716,0.82187235,0.7749482,0
18,20,0,0.82839626,0.8228857,0.7749482,0
19,22,0,0.850611,0.8231889,0.7749482,0
20,24,0,0.7237092,0.82349205,0.7749482,0
21,25,0,0.8247125,0.8241023,0.7749482,0
22,26,0,0.76246786,0.8247125,0.7749482,0
23,28,0,0.81290805,0.8241023,0.7749482,0
24,29,0,0.63002974,0.8247125,0.7749482,0
25,30,0,0.8293247,0.8241023,0.7749482,0
26,31,0,0.7968712,0.8247125,0.7749482,0
27,32,0,0.84415805,0.8241023,0.7749482,0
28,33,0,0.7927042,0.8247125,0.7749482,0
29,34,0,0.83529806,0.8241023,0.7749482,0
30,35,0,0.662218,0.82349205,0.7749482,0
31,36,0,0.66972685,0.8241023,0.7749482,0
32,38,0,0.8195902,0.8247125,0.7749482,0
33,39,0,0.8307453,0.8247789,0.7749482,0
34,40,0,0.8384371,0.8247125,0.7749482,0
35,41,0,0.6561521,0.8247789,0.7749482,0
36,43,0,0.7528146,0.8248453,0.7749482,0
37,44,0,0.8650588,0.8251509,0.7749482,0
38,46,0,0.8666596,0.8254565,0.7749482,0
39,47,0,0.8493409,0.82651114,0.7749482,0
40,48,0,0.8370068,0.8275658,0.7749482,0
41,49,0,0.77658725,0.8278719,0.7749482,0
42,50,0,0.855894,0.8275658,0.7749482,0
43,51,0,0.7866768,0.82651114,0.7749482,0
44,52,0,0.8080267,0.8275658,0.7749482,0
45,53,0,0.7044007,0.8278719,0.7749482,0
46,54,0,0.84990203,0.8275658,0.7749482,0
47,55,0,0.79555833,0.82651114,0.7749482,0
48,56,0,0.7416077,0.8275658,0.7749482,0
49,57,0,0.86243165,0.8278719,0.7749482,0
50,58,0,0.83557343,0.8281781,0.7749482,0
51,59,0,0.8644824,0.82839626,0.7749482,0
52,60,0,0.7916475,0.82839626,0.7749482,0
53,61,0,0.77588964,0.8293247,0.7749482,0
54,62,0,0.82349205,0.82839626,0.7749482,0
55,63,0,0.8208591,0.8281781,0.7749482,0
56,64,0,0.8392019,0.8281781,0.7749482,0
57,65,0,0.8197269,0.8281781,0.7749482,0
58,66,0,0.6636715,0.8281781,0.7749482,0
59,67,0,0.8248453,0.8281781,0.7749482,0
60,68,0,0.799631,0.82839626,0.7749482,0
61,69,0,0.7163054,0.8293247,0.7749482,0
62,71,0,0.84506816,0.82839626,0.7749482,0
63,72,0,0.8695034,0.82839626,0.7749482,0
64,74,0,0.78874904,0.8281781,0.7749482,0
65,75,0,0.8452713,0.82839626,0.7749482,0
66,76,0,0.8378738,0.8293247,0.7749482,0
67,77,0,0.8360197,0.82839626,0.7749482,0
68,78,0,0.8281781,0.82839626,0.7749482,0
69,79,0,0.8509536,0.8281781,0.7749482,0
70,80,0,0.8443041,0.8281781,0.7749482,0
71,81,0,0.85281295,0.8281781,0.7749482,0
72,83,0,0.87093264,0.8281781,0.7749482,0
73,85,0,0.79202765,0.8281781,0.7749482,0
74,86,0,0.83363575,0.8293247,0.7749482,0
75,88,0,0.80373996,0.8307453,0.7749482,0
76,90,0,0.8733145,0.8307453,0.7749482,0
77,91,0,0.7975286,0.8310322,0.7749482,0
78,92,0,0.870238,0.8307453,0.7749482,0
79,93,0,0.792429,0.8307453,0.7749482,0
80,94,0,0.81520736,0.8307453,0.7749482,0
81,95,0,0.85966295,0.8307453,0.7749482,0
82,96,0,0.8275658,0.8307453,0.7749482,0
83,98,0,0.868124,0.8307453,0.7749482,0
84,99,0,0.8167584,0.8281781,0.7749482,0
85,100,0,0.86802846,0.8275658,0.7749482,0
86,101,0,0.8553762,0.8275658,0.7749482,0
87,102,0,0.83394575,0.8281781,0.7749482,0
88,103,0,0.85232806,0.8281781,0.7749482,0
89,104,0,0.8624186,0.8275658,0.7749482,0
90,105,0,0.84986424,0.8275658,0.7749482,0
91,106,0,0.8511112,0.8275658,0.7749482,0
92,107,0,0.77051264,0.8275658,0.7749482,0
93,108,0,0.81679356,0.8252889,0.7749482,0
94,109,0,0.84610945,0.8275658,0.7749482,0
95,110,0,0.8542581,0.8281781,0.7749482,0
96,111,0,0.70617986,0.8310322,0.7749482,0
97,112,0,0.8189937,0.8281781,0.7749482,0
98,113,0,0.8560052,0.8310322,0.7749482,0
99,114,0,0.857284,0.8310322,0.7749482,0
100,115,0,0.8471371,0.8281781,0.7749482,0
101,116,0,0.87496686,0.8275658,0.7749482,0
102,117,0,0.8169947,0.8275658,0.7749482,0
103,118,0,0.84065545,0.8281781,0.7749482,0
104,119,0,0.8138556,0.8281781,0.7749482,0
105,120,0,0.8252889,0.8281781,0.7749482,0
106,121,0,0.77655315,0.8281781,0.7749482,0
107,123,0,0.8498184,0.8281781,0.7749482,0
