order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.97722006,0.97236365,0.9221002,0
1,1,0,0.97511536,0.9723396,0.9221002,0
2,2,0,0.9764478,0.9723155,0.9221002,0
3,3,0,0.9631928,0.9723396,0.9221002,0
4,4,0,0.9686919,0.9723155,0.9221002,0
5,5,0,0.9773542,0.9720888,0.9221002,0
6,6,0,0.9667067,0.9723155,0.9221002,0
7,8,0,0.9772981,0.9723396,0.9221002,0
8,9,0,0.9847512,0.9723155,0.9221002,0
9,10,0,0.98014826,0.9720888,0.9221002,0
10,11,0,0.96515596,0.9723155,0.9221002,0
11,12,0,0.96876603,0.9723396,0.9221002,0
12,14,0,0.98176795,0.97236365,0.9221002,0
13,15,0,0.96698374,0.9723396,0.9221002,0
14,16,0,0.9667986,0.9723155,0.9221002,0
15,17,0,0.9793564,0.9723396,0.9221002,0
16,18,0,0.9662012,0.97236365,0.9221002,0
17,19,0,0.96227676,0.9723396,0.9221002,0
18,20,0,0.9702944,0.9723155,0.9221002,0
19,22,0,0.97837913,0.9723396,0.9221002,0
20,24,0,0.97508013,0.9723155,0.9221002,0
21,25,0,0.96549785,0.9723396,0.9221002,0
22,26,0,0.96890557,0.9723155,0.9221002,0
23,28,0,0.97018844,0.9720888,0.9221002,0
24,29,0,0.9657723,0.97186214,0.9221002,0
25,30,0,0.9773726,0.9720888,0.9221002,0
26,31,0,0.975808,0.97186214,0.9221002,0
27,32,0,0.9739583,0.9717971,0.9221002,0
28,33,0,0.96621907,0.97186214,0.9221002,0
29,34,0,0.9707011,0.9717971,0.9221002,0
30,35,0,0.9661074,0.971732,0.9221002,0
31,36,0,0.96842706,0.97121656,0.9221002,0
32,38,0,0.9740858,0.971732,0.9221002,0
33,39,0,0.9766908,0.97121656,0.9221002,0
34,40,0,0.97296643,0.971732,0.9221002,0
35,41,0,0.97757304,0.97121656,0.9221002,0
36,43,0,0.96948826,0.971732,0.9221002,0
37,44,0,0.9652299,0.9714415,0.9221002,0
38,46,0,0.97236365,0.97115093,0.9221002,0
39,47,0,0.97186214,0.9711876,0.9221002,0
40,48,0,0.9755664,0.9712242,0.9221002,0
41,49,0,0.9700302,0.9714781,0.9221002,0
42,50,0,0.97508013,0.971732,0.9221002,0
43,51,0,0.9732696,0.9717971,0.9221002,0
44,52,0,0.9680881,0.97186214,0.9221002,0
45,53,0,0.97273785,0.97197294,0.9221002,0
46,54,0,0.9723155,0.97186214,0.9221002,0
47,55,0,0.9791376,0.9717971,0.9221002,0
48,56,0,0.97257674,0.97186214,0.9221002,0
49,57,0,0.9654533,0.9717971,0.9221002,0
50,58,0,0.9763237,0.971732,0.9221002,0
51,59,0,0.9690609,0.9712242,0.9221002,0
52,60,0,0.96739894,0.9712242,0.9221002,0
53,61,0,0.9771605,0.97115093,0.9221002,0
54,62,0,0.96968955,0.97115093,0.9221002,0
55,63,0,0.971732,0.9712242,0.9221002,0
56,64,0,0.97590303,0.9712242,0.9221002,0
57,65,0,0.97673666,0.971732,0.9221002,0
58,66,0,0.96823657,0.9712242,0.9221002,0
59,67,0,0.9667068,0.97115093,0.9221002,0
60,68,0,0.97570324,0.9707011,0.9221002,0
61,69,0,0.97454,0.9707011,0.9221002,0
62,71,0,0.97336596,0.97115093,0.9221002,0
63,72,0,0.9676352,0.97115093,0.9221002,0
64,74,0,0.9588638,0.97115093,0.9221002,0
65,75,0,0.9762113,0.97115093,0.9221002,0
66,76,0,0.97751534,0.97115093,0.9221002,0
67,77,0,0.9657344,0.9712242,0.9221002,0
68,78,0,0.9659761,0.97153705,0.9221002,0
69,79,0,0.9813302,0.971732,0.9221002,0
70,80,0,0.96365833,0.971732,0.9221002,0
71,81,0,0.97881275,0.971732,0.9221002,0
72,83,0,0.97038615,0.97186214,0.9221002,0
73,85,0,0.97025394,0.97186214,0.9221002,0
74,86,0,0.97067475,0.97186214,0.9221002,0
75,88,0,0.9842115,0.97208375,0.9221002,0
76,90,0,0.96780324,0.97186214,0.9221002,0
77,91,0,0.9666176,0.971732,0.9221002,0
78,92,0,0.9745972,0.971732,0.9221002,0
79,93,0,0.9703762,0.97186214,0.9221002,0
80,94,0,0.9704924,0.97208375,0.9221002,0
81,95,0,0.964527,0.97208375,0.9221002,0
82,96,0,0.97312343,0.97208375,0.9221002,0
83,98,0,0.9695277,0.97208375,0.9221002,0
84,99,0,0.98226655,0.97208375,0.9221002,0
85,100,0,0.96805596,0.97208375,0.9221002,0
86,101,0,0.9786359,0.97186214,0.9221002,0
87,102,0,0.97115093,0.97186214,0.9221002,0
88,103,0,0.9679881,0.97208375,0.9221002,0
89,104,0,0.9712242,0.97186214,0.9221002,0
90,105,0,0.973196,0.971732,0.9221002,0
91,106,0,0.9723992,0.97153705,0.9221002,0
92,107,0,0.97832793,0.971732,0.9221002,0
93,108,0,0.97245634,0.971732,0.9221002,0
94,109,0,0.9799179,0.971732,0.9221002,0
95,110,0,0.97208375,0.97208375,0.9221002,0
96,111,0,0.96874523,0.97208375,0.9221002,0
97,112,0,0.9697404,0.97208375,0.9221002,0
98,113,0,0.9832693,0.971732,0.9221002,0
99,114,0,0.9702273,0.971732,0.9221002,0
100,115,0,0.9704107,0.97208375,0.9221002,0
101,116,0,0.9691148,0.97208375,0.9221002,0
102,117,0,0.9754956,0.9723992,0.9221002,0
103,118,0,0.9693218,0.97245634,0.9221002,0
104,119,0,0.96964055,0.9723992,0.9221002,0
105,120,0,0.9746978,0.97245634,0.9221002,0
106,121,0,0.9796613,0.97256684,0.9221002,0
107,123,0,0.9767158,0.97256684,0.9221002,0
108,124,0,0.9685555,0.97245634,0.9221002,0
109,127,0,0.9692576,0.97256684,0.9221002,0
110,128,0,0.96629095,0.9725855,0.9221002,0
111,129,0,0.97030723,0.9725855,0.9221002,0
112,130,0,0.97604054,0.9725855,0.9221002,0
113,131,0,0.97400516,0.9725855,0.9221002,0
114,132,0,0.9685118,0.9726345,0.9221002,0
115,133,0,0.96936506,0.9726345,0.9221002,0
116,134,0,0.97153705,0.9725855,0.9221002,0
117,135,0,0.9810807,0.9725855,0.9221002,0
118,136,0,0.97256684,0.9726345,0.9221002,0
119,137,0,0.9812844,0.9726345,0.9221002,0
120,138,0,0.97294253,0.9726345,0.9221002,0
121,139,0,0.9725855,0.9726345,0.9221002,0
122,140,0,0.9792298,0.9726345,0.9221002,0
123,141,0,0.95803094,0.9726517,0.9221002,0
124,143,0,0.9666185,0.9726517,0.9221002,0
125,145,0,0.9726517,0.9726517,0.9221002,0
126,146,0,0.96466374,0.9726345,0.9221002,0
127,147,0,0.9681127,0.9726345,0.9221002,0
128,148,0,0.9739231,0.9726517,0.9221002,0
129,149,0,0.9732423,0.9726517,0.9221002,0
130,150,0,0.97542614,0.9726517,0.9221002,0
131,152,0,0.9672532,0.9726517,0.9221002,0
132,153,0,0.96965545,0.9726651,0.9221002,0
133,154,0,0.97419536,0.9726517,0.9221002,0
134,155,0,0.9809107,0.9726651,0.9221002,0
135,156,0,0.9767434,0.9726517,0.9221002,0
136,157,0,0.9539841,0.9726651,0.9221002,0
137,158,0,0.9692375,0.9726651,0.9221002,0
138,159,0,0.98118204,0.9726651,0.9221002,0
139,160,0,0.958688,0.9726651,0.9221002,0
140,161,0,0.9674611,0.9728591,0.9221002,0
141,162,0,0.9652218,0.9728591,0.9221002,0
142,163,0,0.97814006,0.9728591,0.9221002,0
143,164,0,0.9813539,0.9726651,0.9221002,0
144,166,0,0.976359,0.9728591,0.9221002,0
145,167,0,0.9726651,0.9728591,0.9221002,0
146,168,0,0.97386926,0.9728591,0.9221002,0
147,169,0,0.9726345,0.9728591,0.9221002,0
148,171,0,0.9700111,0.9728591,0.9221002,0
149,172,0,0.9832857,0.9728591,0.9221002,0
150,173,0,0.9741349,0.97294253,0.9221002,0
151,174,0,0.9811433,0.97294253,0.9221002,0
152,175,0,0.9779059,0.97294253,0.9221002,0
153,176,0,0.97808546,0.97294253,0.9221002,0
154,177,0,0.96505094,0.9732423,0.9221002,0
155,178,0,0.97612953,0.9732423,0.9221002,0
156,179,0,0.9728591,0.97294253,0.9221002,0
157,180,0,0.97353,0.9728591,0.9221002,0
158,181,0,0.9618161,0.9728591,0.9221002,0
159,183,0,0.97585434,0.97294253,0.9221002,0
160,184,0,0.97720474,0.97294253,0.9221002,0
161,186,0,0.97732127,0.97294253,0.9221002,0
162,187,0,0.9804936,0.9732423,0.9221002,0
163,188,0,0.98237884,0.97318035,0.9221002,0
164,189,0,0.982198,0.97318035,0.9221002,0
165,190,0,0.96808165,0.97318035,0.9221002,0
166,191,0,0.958384,0.9732423,0.9221002,0
167,192,0,0.98202705,0.9732462,0.9221002,0
168,193,0,0.98067987,0.9732462,0.9221002,0
169,194,0,0.97030175,0.97353,0.9221002,0
170,195,0,0.9848229,0.9732462,0.9221002,0
171,196,0,0.9639294,0.9732462,0.9221002,0
172,197,0,0.9735919,0.9732462,0.9221002,0
173,198,0,0.97747725,0.9732423,0.9221002,0
174,199,0,0.9651764,0.9732423,0.9221002,0
175,201,0,0.96588725,0.9732462,0.9221002,0
176,202,0,0.96646494,0.97353,0.9221002,0
177,203,0,0.9658283,0.97353,0.9221002,0
178,204,0,0.9732462,0.97353,0.9221002,0
179,205,0,0.97649384,0.97353,0.9221002,0
180,206,0,0.9663611,0.97353,0.9221002,0
181,207,0,0.9585647,0.9732462,0.9221002,0
182,208,0,0.98519415,0.97353,0.9221002,0
183,209,0,0.9724204,0.97353,0.9221002,0
184,210,0,0.97708386,0.9732462,0.9221002,0
185,211,0,0.9683956,0.9732453,0.9221002,0
186,212,0,0.97376573,0.97318035,0.9221002,0
187,213,0,0.9747629,0.97318035,0.9221002,0
188,214,0,0.9690729,0.9732453,0.9221002,0
189,215,0,0.97031385,0.97318035,0.9221002,0
190,216,0,0.9773732,0.97318035,0.9221002,0
191,217,0,0.9738657,0.9732453,0.9221002,0
192,218,0,0.9645589,0.9732453,0.9221002,0
193,219,0,0.96786505,0.9732453,0.9221002,0
194,220,0,0.98289007,0.9732453,0.9221002,0
195,221,0,0.9811539,0.97318035,0.9221002,0
196,222,0,0.9709811,0.97318035,0.9221002,0
197,223,0,0.9700955,0.9728591,0.9221002,0
198,224,0,0.96549284,0.9728591,0.9221002,0
199,225,0,0.97961736,0.97318035,0.9221002,0
200,227,0,0.9803802,0.97318035,0.9221002,0
201,229,0,0.9638729,0.97318035,0.9221002,0
202,230,0,0.9689294,0.9728591,0.9221002,0
203,231,0,0.9800206,0.9725875,0.9221002,0
204,233,0,0.9805028,0.9724204,0.9221002,0
205,234,0,0.96865517,0.9724204,0.9221002,0
206,235,0,0.960127,0.9723939,0.9221002,0
207,236,0,0.96877974,0.97236365,0.9221002,0
208,237,0,0.9800848,0.97236365,0.9221002,0
209,238,0,0.9778541,0.97236365,0.9221002,0
210,240,0,0.96518713,0.9722834,0.9221002,0
211,241,0,0.97236365,0.9722834,0.9221002,0
212,242,0,0.98073393,0.971977,0.9221002,0
213,243,0,0.97318035,0.9716167,0.9221002,0
214,245,0,0.9735462,0.9716167,0.9221002,0
215,246,0,0.9651237,0.9713503,0.9221002,0
216,247,0,0.9775265,0.9716167,0.9221002,0
217,248,0,0.9792912,0.971659,0.9221002,0
218,249,0,0.9807282,0.9716167,0.9221002,0
219,250,0,0.97971135,0.9713503,0.9221002,0
220,251,0,0.9722834,0.9713503,0.9221002,0
221,252,0,0.9579009,0.9713503,0.9221002,0
222,253,0,0.9637687,0.9716167,0.9221002,0
223,254,0,0.9713058,0.9713503,0.9221002,0
224,255,0,0.96947277,0.97131133,0.9221002,0
225,256,0,0.97589844,0.9713503,0.9221002,0
226,257,0,0.97931826,0.9716167,0.9221002,0
227,258,0,0.96954536,0.9716167,0.9221002,0
228,259,0,0.9703063,0.971659,0.9221002,0
229,260,0,0.9740642,0.9716167,0.9221002,0
230,261,0,0.9662367,0.9713503,0.9221002,0
231,263,0,0.97079796,0.9713503,0.9221002,0
232,264,0,0.9807098,0.9713503,0.9221002,0
233,265,0,0.9732453,0.9713503,0.9221002,0
234,266,0,0.9679468,0.97131133,0.9221002,0
235,267,0,0.96653104,0.9713058,0.9221002,0
236,268,0,0.97063935,0.97131133,0.9221002,0
237,269,0,0.9685657,0.97131133,0.9221002,0
