order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.9771418,0.97228193,0.9220228,0
1,1,0,0.97502834,0.97225666,0.9220228,0
2,2,0,0.9763715,0.9722314,0.9220228,0
3,3,0,0.96311027,0.97225666,0.9220228,0
4,4,0,0.9686124,0.9722314,0.9220228,0
5,5,0,0.9772815,0.972004,0.9220228,0
6,6,0,0.96662706,0.9722314,0.9220228,0
7,8,0,0.977221,0.97225666,0.9220228,0
8,9,0,0.9846699,0.9722314,0.9220228,0
9,10,0,0.9800613,0.972004,0.9220228,0
10,11,0,0.96507585,0.9722314,0.9220228,0
11,12,0,0.96868515,0.97225666,0.9220228,0
12,14,0,0.9816904,0.97228193,0.9220228,0
13,15,0,0.9669038,0.97225666,0.9220228,0
14,16,0,0.96672285,0.9722314,0.9220228,0
15,17,0,0.9792762,0.97225666,0.9220228,0
16,18,0,0.9661219,0.97228193,0.9220228,0
17,19,0,0.96220464,0.97225666,0.9220228,0
18,20,0,0.9702131,0.9722314,0.9220228,0
19,22,0,0.9782946,0.97225666,0.9220228,0
20,24,0,0.9750039,0.9722314,0.9220228,0
21,25,0,0.9654139,0.97225666,0.9220228,0
22,26,0,0.9688188,0.9722314,0.9220228,0
23,28,0,0.9701094,0.972004,0.9220228,0
24,29,0,0.9656863,0.9717766,0.9220228,0
25,30,0,0.9772828,0.972004,0.9220228,0
26,31,0,0.97573465,0.9717766,0.9220228,0
27,32,0,0.97386867,0.97170794,0.9220228,0
28,33,0,0.96614176,0.9717766,0.9220228,0
29,34,0,0.9706263,0.97170794,0.9220228,0
30,35,0,0.96604335,0.9716392,0.9220228,0
31,36,0,0.9683545,0.97113276,0.9220228,0
32,38,0,0.9740137,0.9716392,0.9220228,0
33,39,0,0.97661257,0.97113276,0.9220228,0
34,40,0,0.9728917,0.9716392,0.9220228,0
35,41,0,0.9774946,0.97113276,0.9220228,0
36,43,0,0.9694059,0.9716392,0.9220228,0
37,44,0,0.9651512,0.9713559,0.9220228,0
38,46,0,0.97228193,0.9710727,0.9220228,0
39,47,0,0.9717766,0.971109,0.9220228,0
40,48,0,0.9754893,0.9711453,0.9220228,0
41,49,0,0.9699563,0.9713923,0.9220228,0
42,50,0,0.9749927,0.9716392,0.9220228,0
43,51,0,0.9731921,0.97170794,0.9220228,0
44,52,0,0.96801186,0.9717766,0.9220228,0
45,53,0,0.97266054,0.9718921,0.9220228,0
46,54,0,0.9722314,0.9717766,0.9220228,0
47,55,0,0.9790534,0.97170794,0.9220228,0
48,56,0,0.9725016,0.9717766,0.9220228,0
49,57,0,0.9653767,0.97170794,0.9220228,0
50,58,0,0.97624326,0.9716392,0.9220228,0
51,59,0,0.9689777,0.9711453,0.9220228,0
52,60,0,0.9673144,0.9711453,0.9220228,0
53,61,0,0.9770695,0.9710727,0.9220228,0
54,62,0,0.969613,0.9710727,0.9220228,0
55,63,0,0.9716392,0.9711453,0.9220228,0
56,64,0,0.97582614,0.9711453,0.9220228,0
57,65,0,0.9766537,0.9716392,0.9220228,0
58,66,0,0.96815807,0.9711453,0.9220228,0
59,67,0,0.9666331,0.9710727,0.9220228,0
60,68,0,0.97562754,0.9706263,0.9220228,0
61,69,0,0.97446144,0.9706263,0.9220228,0
62,71,0,0.9732802,0.9710727,0.9220228,0
63,72,0,0.9675484,0.9710727,0.9220228,0
64,74,0,0.95879,0.9710727,0.9220228,0
65,75,0,0.9761376,0.9710727,0.9220228,0
66,76,0,0.97743624,0.9710727,0.9220228,0
67,77,0,0.96565163,0.9711453,0.9220228,0
68,78,0,0.9658911,0.9714601,0.9220228,0
69,79,0,0.98124623,0.9716392,0.9220228,0
70,80,0,0.963577,0.9716392,0.9220228,0
71,81,0,0.9787345,0.9716392,0.9220228,0
72,83,0,0.9703091,0.9717766,0.9220228,0
73,85,0,0.9701828,0.9717766,0.9220228,0
74,86,0,0.9705968,0.9717766,0.9220228,0
75,88,0,0.98412687,0.9720076,0.9220228,0
76,90,0,0.96771926,0.9717766,0.9220228,0
77,91,0,0.9665438,0.9716392,0.9220228,0
78,92,0,0.9745209,0.9716392,0.9220228,0
79,93,0,0.970296,0.9717766,0.9220228,0
80,94,0,0.9704126,0.9720076,0.9220228,0
81,95,0,0.9644545,0.9720076,0.9220228,0
82,96,0,0.9730505,0.9720076,0.9220228,0
83,98,0,0.96944404,0.9720076,0.9220228,0
84,99,0,0.98218566,0.9720076,0.9220228,0
85,100,0,0.9679831,0.9720076,0.9220228,0
86,101,0,0.97854924,0.9717766,0.9220228,0
87,102,0,0.9710727,0.9717766,0.9220228,0
88,103,0,0.9679092,0.9720076,0.9220228,0
89,104,0,0.9711453,0.9717766,0.9220228,0
90,105,0,0.9731216,0.9716392,0.9220228,0
91,106,0,0.9723211,0.9714601,0.9220228,0
92,107,0,0.9782465,0.9716392,0.9220228,0
93,108,0,0.97237873,0.9716392,0.9220228,0
94,109,0,0.9798296,0.9716392,0.9220228,0
95,110,0,0.9720076,0.9720076,0.9220228,0
96,111,0,0.9686601,0.9720076,0.9220228,0
97,112,0,0.9696543,0.9720076,0.9220228,0
98,113,0,0.98318964,0.9716392,0.9220228,0
99,114,0,0.9701536,0.9716392,0.9220228,0
100,115,0,0.97032833,0.9720076,0.9220228,0
101,116,0,0.9690354,0.9720076,0.9220228,0
102,117,0,0.9754147,0.9723211,0.9220228,0
103,118,0,0.9692328,0.97237873,0.9220228,0
104,119,0,0.9695622,0.9723211,0.9220228,0
105,120,0,0.9746113,0.97237873,0.9220228,0
106,121,0,0.979588,0.9724853,0.9220228,0
107,123,0,0.97663164,0.9724853,0.9220228,0
108,124,0,0.9684707,0.97237873,0.9220228,0
109,127,0,0.96918386,0.9724853,0.9220228,0
110,128,0,0.96620965,0.9725097,0.9220228,0
111,129,0,0.9702254,0.9725097,0.9220228,0
112,130,0,0.9759566,0.9725097,0.9220228,0
113,131,0,0.9739233,0.9725097,0.9220228,0
114,132,0,0.96842784,0.97255725,0.9220228,0
115,133,0,0.96928006,0.97255725,0.9220228,0
116,134,0,0.9714601,0.9725097,0.9220228,0
117,135,0,0.98099315,0.9725097,0.9220228,0
118,136,0,0.9724853,0.97255725,0.9220228,0
119,137,0,0.981207,0.97255725,0.9220228,0
120,138,0,0.9728623,0.97255725,0.9220228,0
121,139,0,0.9725097,0.97255725,0.9220228,0
122,140,0,0.9791337,0.97255725,0.9220228,0
123,141,0,0.95794326,0.97256523,0.9220228,0
124,143,0,0.9665392,0.97256523,0.9220228,0
125,145,0,0.97256523,0.97256523,0.9220228,0
