order_i,orig_i,y_dirty,pcc,pcc_smooth,delta,pred_anom
0,0,0,0.97028285,0.9668828,0.9169988,0
1,1,0,0.968264,0.9667815,0.9169988,0
2,2,0,0.9719616,0.96668017,0.9169988,0
3,3,0,0.95692676,0.9667815,0.9169988,0
4,4,0,0.96382505,0.96668017,0.9169988,0
5,5,0,0.9744076,0.9667815,0.9169988,0
6,6,0,0.96255994,0.9668828,0.9169988,0
7,8,0,0.97358066,0.96693456,0.9169988,0
8,9,0,0.9824143,0.9668828,0.9169988,0
9,10,0,0.9767344,0.9667815,0.9169988,0
10,11,0,0.9584437,0.96668017,0.9169988,0
11,12,0,0.96491075,0.9667815,0.9169988,0
12,14,0,0.97978365,0.96668017,0.9169988,0
13,15,0,0.9634525,0.9665662,0.9169988,0
14,16,0,0.9628867,0.96645224,0.9169988,0
15,17,0,0.97624934,0.9665662,0.9169988,0
16,18,0,0.9613822,0.96668017,0.9169988,0
17,19,0,0.95757794,0.9665662,0.9169988,0
18,20,0,0.96621984,0.96645224,0.9169988,0
19,22,0,0.9747275,0.9665662,0.9169988,0
20,24,0,0.97127354,0.96645224,0.9169988,0
21,25,0,0.95932466,0.9665662,0.9169988,0
22,26,0,0.96356285,0.96645224,0.9169988,0
23,28,0,0.96344674,0.9665662,0.9169988,0
24,29,0,0.9626462,0.96645224,0.9169988,0
25,30,0,0.97413677,0.9665662,0.9169988,0
26,31,0,0.9735987,0.96645224,0.9169988,0
27,32,0,0.9687608,0.96643674,0.9169988,0
28,33,0,0.9600174,0.96645224,0.9169988,0
29,34,0,0.96668017,0.96643674,0.9169988,0
30,35,0,0.9663955,0.96642125,0.9169988,0
31,36,0,0.96400756,0.9664084,0.9169988,0
32,38,0,0.9635017,0.96642125,0.9169988,0
33,39,0,0.9693395,0.9664084,0.9169988,0
34,40,0,0.9677937,0.96642125,0.9169988,0
35,41,0,0.9746934,0.9664084,0.9169988,0
36,43,0,0.96432155,0.96642125,0.9169988,0
37,44,0,0.9618618,0.9664084,0.9169988,0
38,46,0,0.9680115,0.9663955,0.9169988,0
39,47,0,0.96642125,0.96637595,0.9169988,0
40,48,0,0.9698943,0.96635634,0.9169988,0
41,49,0,0.9648,0.96637595,0.9169988,0
42,50,0,0.96917486,0.9663955,0.9169988,0
43,51,0,0.96698636,0.9664084,0.9169988,0
44,52,0,0.9653451,0.96642125,0.9169988,0
45,53,0,0.967494,0.96643674,0.9169988,0
46,54,0,0.9668828,0.96642125,0.9169988,0
47,55,0,0.9764247,0.9664084,0.9169988,0
48,56,0,0.96927977,0.96642125,0.9169988,0
49,57,0,0.9613361,0.9664084,0.9169988,0
50,58,0,0.9690989,0.9663955,0.9169988,0
51,59,0,0.9652103,0.96635634,0.9169988,0
52,60,0,0.96354306,0.96635634,0.9169988,0
53,61,0,0.97428685,0.96621984,0.9169988,0
54,62,0,0.9629269,0.96621984,0.9169988,0
55,63,0,0.9698936,0.96635634,0.9169988,0
56,64,0,0.9712295,0.96635634,0.9169988,0
57,65,0,0.9742546,0.9663955,0.9169988,0
58,66,0,0.96514994,0.96635634,0.9169988,0
59,67,0,0.95970595,0.96621984,0.9169988,0
60,68,0,0.96582216,0.9661993,0.9169988,0
61,69,0,0.96902007,0.9661993,0.9169988,0
62,71,0,0.96645224,0.96621984,0.9169988,0
63,72,0,0.9634265,0.96621984,0.9169988,0
64,74,0,0.9562446,0.96621984,0.9169988,0
65,75,0,0.97388005,0.96621984,0.9169988,0
66,76,0,0.96852374,0.96621984,0.9169988,0
67,77,0,0.9622669,0.96635634,0.9169988,0
68,78,0,0.9589154,0.9663955,0.9169988,0
69,79,0,0.97868234,0.96642125,0.9169988,0
70,80,0,0.9602722,0.96642125,0.9169988,0
71,81,0,0.9700675,0.96642125,0.9169988,0
72,83,0,0.9645627,0.96645224,0.9169988,0
73,85,0,0.96734494,0.96645224,0.9169988,0
74,86,0,0.9661912,0.96645224,0.9169988,0
75,88,0,0.981497,0.96668017,0.9169988,0
76,90,0,0.964162,0.96645224,0.9169988,0
77,91,0,0.96189994,0.96642125,0.9169988,0
78,92,0,0.9724257,0.96642125,0.9169988,0
79,93,0,0.9649129,0.96645224,0.9169988,0
80,94,0,0.96635634,0.96645224,0.9169988,0
81,95,0,0.9606644,0.96645224,0.9169988,0
82,96,0,0.97022766,0.9665338,0.9169988,0
83,98,0,0.96537715,0.9665338,0.9169988,0
84,99,0,0.9798537,0.9665338,0.9169988,0
85,100,0,0.96434194,0.9665338,0.9169988,0
86,101,0,0.9750882,0.96645224,0.9169988,0
87,102,0,0.9659897,0.96645224,0.9169988,0
88,103,0,0.9587353,0.9665338,0.9169988,0
89,104,0,0.96616876,0.96645224,0.9169988,0
90,105,0,0.9658027,0.96645224,0.9169988,0
91,106,0,0.9679456,0.96635634,0.9169988,0
92,107,0,0.9729245,0.96645224,0.9169988,0
93,108,0,0.97011125,0.96645224,0.9169988,0
94,109,0,0.97122097,0.96645224,0.9169988,0
95,110,0,0.968501,0.9665338,0.9169988,0
96,111,0,0.9634146,0.9665338,0.9169988,0
97,112,0,0.9661993,0.9665338,0.9169988,0
98,113,0,0.9792752,0.96645224,0.9169988,0
99,114,0,0.9640062,0.96645224,0.9169988,0
100,115,0,0.9628738,0.96645224,0.9169988,0
101,116,0,0.96343863,0.96645224,0.9169988,0
102,117,0,0.9712299,0.9665338,0.9169988,0
103,118,0,0.9644574,0.96677077,0.9169988,0
104,119,0,0.9647504,0.9665338,0.9169988,0
105,120,0,0.9693752,0.96677077,0.9169988,0
106,121,0,0.97492325,0.96677077,0.9169988,0
107,123,0,0.9748951,0.96677077,0.9169988,0
108,124,0,0.9628529,0.9665338,0.9169988,0
109,127,0,0.96248144,0.96677077,0.9169988,0
110,128,0,0.96357083,0.96677077,0.9169988,0
111,129,0,0.9638014,0.96700567,0.9169988,0
112,130,0,0.9692042,0.96700567,0.9169988,0
113,131,0,0.97003174,0.96734494,0.9169988,0
114,132,0,0.9597042,0.967578,0.9169988,0
115,133,0,0.96521896,0.967578,0.9169988,0
116,134,0,0.967578,0.96734494,0.9169988,0
117,135,0,0.9768492,0.96734494,0.9169988,0
118,136,0,0.9698705,0.967578,0.9169988,0
119,137,0,0.9786238,0.967578,0.9169988,0
120,138,0,0.9677638,0.967578,0.9169988,0
121,139,0,0.96677077,0.967578,0.9169988,0
122,140,0,0.9772851,0.96734494,0.9169988,0
